i 	 X 	 K1 	 K2 	 K3 	 K4 	 Ynum 	 Yexact 	 Error(%)
1	0.5	0.5	0.84375	0.929688	1.33984	1.89779	1.89872	0.0492338
2	1	1.32389	1.74862	1.8548	2.37629	3.71562	3.71828	0.0715352
3	1.5	2.35781	2.91601	3.05556	3.76059	6.72588	6.73169	0.0862645
4	2	3.73794	4.51618	4.71074	5.71831	11.3776	11.3891	0.100934
5	2.5	5.68878	6.82973	7.11496	8.62126	18.4108	18.4325	0.117712
6	3	8.5804	10.3192	10.754	13.0824	29.0457	29.0855	0.137094
7	3.5	13.0228	15.7473	16.4284	20.112	45.2934	45.3655	0.158891
8	4	20.0217	24.3709	25.4581	31.3758	70.4693	70.5982	0.182541
9	4.5	31.2346	38.262	40.0189	49.6191	110.039	110.267	0.207296
10	5	49.3943	60.8366	63.6972	79.3679	173.01	173.413	0.232389
